,,Millimeters,,,,,,,,,
Game Title,# Cards,Width,Length,Type of Sleeve,# Packs,,,,,,
Alhambra: The Thief's Turn,12,58.5,89,Euro Size Card Sleeves,1,,,,,,
Alhambra: The Treasure Chamber,26,58.5,89,Euro Size Card Sleeves,1,,,,,,
Alhambra: The Visier's Favor,16,58.5,89,Euro Size Card Sleeves,1,,,,,,
Alibi,78,56,87,Standard USA (Purple),1,,,,,,
Alien Frontiers (2010),22,63,88,Card Game (Green),1,,,,,,
Alien Frontiers Mind Control Helmet,2,63,88,Card Game (Green),1,,,,,,
Alien Frontiers The Space Crane,2,63,88,Card Game (Green),1,,,,,,
Alien Frontiers: Factions,32,63,88,Card Game (Green),1,,,,,,
Aliens vs Predator: The Hunt Begins,110,63.5,88,Card Game (Green),2,,,,,,
All things Zombie: The Bordgame,72,??,??,?,1,,,,,,
Allegiance: A Realm Divided,270,63,88,Card Game (Green),3,,,,,,
Allegiance: A Realm Divided - Kickstarter Promos,72,63,88,Card Game (Green),1,,,,,,
Amazing Labyrinth,24,54,70,Yucatan Narrow Card Sleeves  (Trim),1,,,,,,
Amazing Space Venture,150,63,88,Card Game (Green),2,,,,,,
Amazonas,58,??,??,?,1,,,,,,
Ambush (AH),82,51,67,Yucatan Narrow Card Sleeves  (Trim),1,,,,,,
Ambush Follow Me!: Mission #1 – Viva La Resistance,14,51,77,?,1,,,,,,
Ambush Follow Me!: Mission #2 – Verletzer Tieger,15,51,77,?,1,,,,,,
Ambush Follow Me!: Mission #3 – Toll Bridge,25,51,77,?,1,,,,,,
Ambush Traffic Control,11,51,77,?,1,,,,,,
Ambush!,88,51,77,?,1,,,,,,
Ambush! Move Out!,60,51,77,?,1,,,,,,
Ambush! Purple Heart,60,51,77,?,1,,,,,,
Ambush! Silver Star,70,51,77,?,1,,,,,,
Ambush! Total cards W/ all expansion as of aug. 2015,343,51,77,?,4,,,,,,
American Megafauna,188,52,52,?,2,,,,,,
American Rails,26,56,87,Standard USA (Purple),1,,,,,,
Amoeba Wars,53,50,66,Custom Sails of Glory Sleeves,1,,,,,,
Among Nobles,70,63,88,Card Game (Green),1,,,,,,
Among the Stars,160,70,70,Small Square,2,,,,,,
Among the Stars: Revival,110,70,70,Small Square,2,,,,,,
Amphipolis (Multilingual First edition),20,58,89,Euro Size Card Sleeves,1,,,,,,
Amphipolis (Unknown edition),16,63,88,Card Game (Green),1,,,,,,
Amun-Re,120,45,68,Mini Euro Sleeves,2,,,,,,
Amun-Re,120,45,68,Mini Euro Sleeves,2,,,,,,
Amyitis,56,45,68,Mini Euro Sleeves,1,,,,,,
Amyitis,56,45,68,Mini Euro Sleeves,1,,,,,,
Anachronism,760,63,88,Card Game (Green),8,,,,,,
Anachrony (Large cards),20,70,100,?,1,,,,,,
Anachrony (Small Cards),50,45,68,Mini Euro Sleeves,1,,,,,,
Anachrony (Standard Cards),67,58,89,Euro Size Card Sleeves,1,,,,,,
Anasazi,8,56,87,Standard USA (Purple),1,,,,,,
Anathema,52,63,88,Card Game (Green),1,,,,,,
Ancient Terrible Things,108,63,88,Card Game (Green),2,,,,,,
Ancient Terrible Things: The Lost Charter,54,63,88,Card Game (Green),1,,,,,,
Andean Abyss,76,63.5,88,Card Game (Green),1,,,,,,
Android,330,57.5,88,Chimera (Orange),4,,,,,,
Android: Netrunner,252,63.5,88,Card Game (Green),3,,,,,,
Andromeda,110,56,87,Standard USA (Purple),2,,,,,,
Angola,110,63,88,Card Game (Green),2,,,,,,
Anima: Beyond Good & Evil,110,63.5,88,Card Game (Green),2,,,,,,
Anima: Shadow of Omega,110,63.5,88,Card Game (Green),2,,,,,,
Anima: The Twilight of the Gods,110,63.5,88,Card Game (Green),2,,,,,,
Animal Upon Animal: Balancing Bridge,35,,,?,1,,,,,,
Animalia,36,59,92,Euro Size Card Sleeves,1,,,,,,
Animals Frightening Night! ,13,51,77,?,1,,,,,,
Anno 1452,107,57,89,Chimera (Orange),2,,,,,,
Anno 1503,90,45,68,Mini Euro Sleeves,1,,,,,,
Anno 1503: Aristokraten und Piraten,60,45,68,Mini Euro Sleeves,1,,,,,,
Anno 1701,120,69,69,Custom MDG-7100,2,,,,,,
Anno 1701: Das Kartenspiel,120,70,70,Small Square,2,,,,,,
Anomia,200,63,88,Card Game (Green),2,,,,,,
Anomia: Party Edition,486,63,88,Card Game (Green),5,,,,,,
Antarctica,60,45,68,Mini Euro Sleeves,1,,,,,,
Antidote Bellwether Games english First edition 2014,104,57.5,88,Chimera (Orange),2,,,,,,
Antike,48,59,91,Euro Size Card Sleeves,1,,,,,,
Antike Duellum,55,59,91,Euro Size Card Sleeves,1,,,,,,
Antike II,52,59,91,Euro Size Card Sleeves,1,,,,,,
Antwerpen (2010),,45,68,Mini Euro Sleeves,0,,,,,,
Apex Theropod Deck-Building Game English second edition ,540,63.5,88,Card Game (Green),6,,,,,,
Apex Theropod Deck-Building Game: Exotic Predators,600,63.5,88,Card Game (Green),6,,,,,,
Apex Theropod Deck-Building Game: Exotic Predators,600,63,88,Card Game (Green),6,,,,,,
Apocalypse Chaos,31,63,88,Card Game (Green),1,,,,,,
Apotheca,19,70,120,Custom MDG-7100,1,,,,,,
Apples to Apples,500,57.5,88.5,Chimera (Orange),5,,,,,,
Aquarius,60,56,87,Standard USA (Purple),1,,,,,,
AquaSphere,51,45,68,Mini Euro Sleeves,1,,,,,,
Aquileia,57,45,68,Mini Euro Sleeves,1,,,,,,
Aqurius,79,56,87,Standard USA (Purple),1,,,,,,
Arboretum,80,57.5,88.5,Chimera (Orange),1,,,,,,
Arcadia,162,63,88,Card Game (Green),2,,,,,,
Arcadia Quest Large card (Quest Cards),21,70,122,Custom MDG-7100,1,,,,,,
Arcadia Quest Small cards,185,41,63,Mini USA (Yellow),2,,,,,,
Arcadia Quest Standard cards,54,63.5,88,Card Game (Green),1,,,,,,
Arcadia Quest: Beyond the Grave Large Cards ,14,70,122,Custom MDG-7100,1,,,,,,
Arcadia Quest: Beyond the Grave Small Cards,62,41,63,Mini USA (Yellow),1,,,,,,
Arcadia Quest: Beyond the Grave Standard Cards,38,63.5,88,Card Game (Green),1,,,,,,
Arcadia Quest: Inferno – Kickstarter Exclusives (Large Cards),11,70,120,?,1,,,,,,
Arcadia Quest: Inferno – Kickstarter Exclusives (Standard),61,63,88,Card Game (Green),1,,,,,,
Arcadia Quest: Inferno (Large cards),21,70,120,?,1,,,,,,
Arcadia Quest: Inferno (Small cards),190,41,64,Mini USA (Yellow),2,,,,,,
Arcadia Quest: Inferno (Standard cards),65,63,88,Card Game (Green),1,,,,,,
Arcana by Agi,163,63.5,88,Card Game (Green),2,,,,,,
Arcane Academy,53,58,89,Euro Size Card Sleeves,1,,,,,,
Arcanum,80,56,87,Standard USA (Purple),1,,,,,,
Archaeologia,80,56,87,Standard USA (Purple),1,,,,,,
Archaeology,93,56,87,Standard USA (Purple),1,,,,,,
Archaeology: The Card Game,87,56,87,Standard USA (Purple),1,,,,,,
Archer: The Danger Zone! Board Game,,63,88,Card Game (Green),0,,,,,,
Archipelago,42,63.5,88,Card Game (Green),1,,,,,,
Archipelago,48,70,70,Small Square,1,,,,,,
Archon: Glory & Machination,120,45,68,Mini Euro Sleeves,2,,,,,,
Archon: Glory & Machination,100,59,92,Euro Size Card Sleeves,1,,,,,,
Arctic Scavenger (Driftwood Games Edition),144,64,89,Card Game (Green),2,,,,,,
Arctic Scavengers,144,63.5,88,Card Game (Green),2,,,,,,
Arctic Scavengers: Base Game+HQ+Recon,338,63,88,Card Game (Green),4,,,,,,
Are You The Traitor?,56,56,87,Standard USA (Purple),1,,,,,,
Area 1851,153,63,88,Card Game (Green),2,,,,,,
Arena Assault,50,63.5,88,Card Game (Green),1,,,,,,
Arena Assault Expansions -Seeveral,360,63.5,88,Card Game (Green),4,,,,,,
Arena Maximus,84,56,87,Standard USA (Purple),1,,,,,,
Arena Maximus,84,56,87,Standard USA (Purple),1,,,,,,
Arena: Morituri te salutant,132,59,92,Euro Size Card Sleeves,2,,,,,,
Arena: Roma II,55,57.5,89,Chimera (Orange),1,,,,,,
Arf!,53,63,88,Card Game (Green),1,,,,,,
Argent: The Consortium,97,??,??,?,1,,,,,,
Argonauts,50,58,89,Euro Size Card Sleeves,1,,,,,,
Aristo-Maze,40,63,88,Card Game (Green),1,,,,,,
Ark,66,59,92,Euro Size Card Sleeves,1,,,,,,
Arkadia,40,45,68,Mini Euro Sleeves,1,,,,,,
Arkham Horror (Character sheets),8,70,104,?,1,,,,,,
Arkham Horror (standard),99,38,64,?,1,,,,,,
Arkham Horror Board Game (Investigator Cards),189,41,63,Mini Chimera (Red),2,,,,,,
Arkham Horror Board Game (Ancient One Cards),179,57,89,Chimera (Orange),2,,,,,,
Arkham Horror: Black Goat,88,57.5,88.5,Chimera (Orange),1,,,,,,
Arkham Horror: Black Goat,90,42,64,Mini Chimera (Red),1,,,,,,
Arkham Horror: Dark Pharaoh,90,57.5,88.5,Chimera (Orange),1,,,,,,
Arkham Horror: Dark Pharaoh,76,42,64,Mini Chimera (Red),1,,,,,,
Arkham Horror: Dunwich,180,57.5,88.5,Chimera (Orange),2,,,,,,
Arkham Horror: Dunwich,152,42,64,Mini Chimera (Red),2,,,,,,
Arkham Horror: Innsmouth,176,57.5,88.5,Chimera (Orange),2,,,,,,
Arkham Horror: Innsmouth,96,42,64,Mini Chimera (Red),1,,,,,,
